date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:17	146969/146969	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-23e19%22	https://themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-2.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-2.jpg	(from https://themewagon.github.io/Kelly/portfolio.html)
18:31:17	19157/19157	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-4ad5%22	https://themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-3.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-3.jpg	(from https://themewagon.github.io/Kelly/portfolio.html)
18:31:18	17934/17934	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-460e%22	https://themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-4.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-4.jpg	(from https://themewagon.github.io/Kelly/portfolio.html)
18:31:18	21473/21473	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-53e1%22	https://themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-5.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-5.jpg	(from https://themewagon.github.io/Kelly/portfolio.html)
18:31:18	21797/21797	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-5525%22	https://themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-6.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-6.jpg	(from https://themewagon.github.io/Kelly/portfolio.html)
18:31:19	96574/96574	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-1793e%22	https://themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-7.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-7.jpg	(from https://themewagon.github.io/Kelly/portfolio.html)
18:31:19	29790/29790	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-745e%22	https://themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-8.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-8.jpg	(from https://themewagon.github.io/Kelly/portfolio.html)
18:31:19	23422/23422	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-5b7e%22	https://themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-9.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/masonry-portfolio/masonry-portfolio-9.jpg	(from https://themewagon.github.io/Kelly/portfolio.html)
18:31:20	67064/67064	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-105f8%22	https://themewagon.github.io/Kelly/assets/img/portfolio/app-1.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/portfolio/app-1.jpg	(from https://themewagon.github.io/Kelly/portfolio-details.html)
18:31:20	62035/62035	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-f253%22	https://themewagon.github.io/Kelly/assets/img/portfolio/product-1.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/portfolio/product-1.jpg	(from https://themewagon.github.io/Kelly/portfolio-details.html)
18:31:20	25514/25514	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-63aa%22	https://themewagon.github.io/Kelly/assets/img/portfolio/branding-1.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/portfolio/branding-1.jpg	(from https://themewagon.github.io/Kelly/portfolio-details.html)
18:31:20	80146/80146	---M--	200	added ('OK')	image/jpeg	etag:%22676a72e6-13912%22	https://themewagon.github.io/Kelly/assets/img/portfolio/books-1.jpg	C:/My%20Web%20Sites/Boss%20Kelly/themewagon.github.io/Kelly/assets/img/portfolio/books-1.jpg	(from https://themewagon.github.io/Kelly/portfolio-details.html)
